GENE,"PATHWAY Z-SCORE
"
STING1,"0.4417660917519294
"
PSEN1,"0.4417660917519294
"
C5AR2,"0.4417660917519294
"
FCRL5,"0.4417660917519294
"
C1S2,"0.4417660917519294
"
DUSP3,"0.4417660917519294
"
GM5629,"0.4417660917519294
"
SREBF1,"0.4417660917519294
"
SKINT5,"0.4417660917519294
"
IRGM1,"0.4417660917519294
"
ZCCHC3,"0.4417660917519294
"
EREG,"0.4417660917519294
"
IGHV1-31,"0.4417660917519294
"
IGHV1-39,"0.4417660917519294
"
IGHV3-6,"0.4417660917519294
"
IGHV1-66,"0.4417660917519294
"
IGHV1-61,"0.4417660917519294
"
IGHV5-6,"0.4417660917519294
"
IGHV2-6-8,"0.4417660917519294
"
IGHV5-9-1,"0.4417660917519294
"
CD38,"0.4417660917519294
"
FPR1,"0.4417660917519294
"
HC,"0.4417660917519294
"
ADAM8,"0.4417660917519294
"
KRT1,"0.4417660917519294
"
IGHV1-24,"0.4417660917519294
"
ITK,"0.4417660917519294
"
NLRC4,"0.4417660917519294
"
IGHV9-4,"0.4417660917519294
"
NMI,"0.4417660917519294
"
TBK1,"0.4417660917519294
"
IKBKE,"0.4417660917519294
"
DHX9,"0.4417660917519294
"
IGHV1-54,"0.4417660917519294
"
THEMIS2,"0.4417660917519294
"
MBL2,"0.4417660917519294
"
MBL1,"0.4417660917519294
"
LPXN,"0.4417660917519294
"
AIM2,"0.4417660917519294
"
BLNK,"0.4417660917519294
"
IGHV1-16,"0.4417660917519294
"
IGHV1-23,"0.4417660917519294
"
CFD,"0.4417660917519294
"
GPS2,"0.4417660917519294
"
ABL1,"0.4417660917519294
"
CARD11,"0.4417660917519294
"
USP46,"0.4417660917519294
"
IGHV7-1,"0.4417660917519294
"
MOG,"0.4417660917519294
"
UNC13B,"0.4417660917519294
"
MFAP4,"0.4417660917519294
"
MED1,"0.4417660917519294
"
NRAS,"0.4417660917519294
"
PRNP,"0.4417660917519294
"
IGHV14-3,"0.4417660917519294
"
PLCG2,"0.4417660917519294
"
PLCG1,"0.4417660917519294
"
PRKCH,"0.4417660917519294
"
PARP9,"0.4417660917519294
"
TNFRSF21,"0.4417660917519294
"
MNDAL,"0.4417660917519294
"
LAT2,"0.4417660917519294
"
WNK1,"0.4417660917519294
"
VTCN1,"0.4417660917519294
"
IFI205,"0.4417660917519294
"
CD79A,"0.4417660917519294
"
IGHV8-11,"0.4417660917519294
"
P01796,"0.4417660917519294
"
UBASH3A,"0.4417660917519294
"
PARK7,"0.4417660917519294
"
IGHV6-6,"0.4417660917519294
"
CARMIL2,"0.4417660917519294
"
