,Gene,Z-Score
335,Ccl3,-0.072545341
336,Ccl4,-0.072545341
337,Ccl5,0.184610375
338,Ccl6,-0.586856773
339,Ccl7,-0.586856773
340,Ccl8,-0.586856773
341,Ccl9,-0.586856773
342,Ccn3,-0.586856773
343,Ccn4,-0.84401249
344,Ccnb2,-0.84401249
345,Ccnd3,-0.84401249
346,Ccr1,0.184610375
347,Ccr10,-0.586856773
348,Ccr1l1,-0.072545341
349,Ccr2,2.756167538
350,Ccr3,-0.586856773
351,Ccr4,-0.586856773
352,Ccr5,-0.586856773
353,Ccr6,-0.072545341
354,Ccr7,1.470388957
355,Ccr8,-0.586856773
356,Ccr9,-0.586856773
357,Ccrl2,-0.586856773
358,Cd101,-0.329701057
359,Cd109,-0.84401249
360,Cd14,-0.586856773
361,Cd151,-0.84401249
362,Cd160,2.241856106
363,Cd177,1.470388957
364,Cd180,-0.586856773
365,Cd19,0.441766092
366,Cd1d1,3.527634687
367,Cd1d2,3.527634687
368,Cd2,-0.84401249
369,Cd200,-0.072545341
370,Cd200r1,-0.586856773
371,Cd207,-0.586856773
372,Cd209a,-0.586856773
373,Cd209d,-0.586856773
374,Cd209e,-0.329701057
375,Cd22,0.698921808
376,Cd226,3.013323254
377,Cd244a,0.441766092
378,Cd247,0.441766092
379,Cd248,-0.84401249
380,Cd24a,3.527634687
381,Cd27,0.184610375
382,Cd274,1.470388957
383,Cd276,0.441766092
384,Cd28,3.013323254
385,Cd300a,1.213233241
386,Cd300c,-0.84401249
387,Cd300c2,-0.84401249
388,Cd300e,-0.84401249
389,Cd300lb,-0.329701057
390,Cd300ld,-0.84401249
391,Cd300ld3,-0.84401249
392,Cd300lf,-0.586856773
393,Cd300lg,-0.84401249
394,Cd320,-0.329701057
395,Cd34,-0.84401249
396,Cd36,0.441766092
397,Cd37,0.698921808
398,Cd38,0.441766092
399,Cd3d,-0.586856773
400,Cd3e,0.441766092
401,Cd3g,-0.586856773
402,Cd4,1.470388957
403,Cd40,3.013323254
404,Cd40lg,0.698921808
405,Cd44,0.956077524
406,Cd46,1.984700389
407,Cd47,0.698921808
408,Cd48,0.184610375
409,Cd5,-0.329701057
410,Cd55,1.727544673
411,Cd55b,1.727544673
412,Cd59a,0.698921808
413,Cd59b,0.698921808
414,Cd5l,0.698921808
415,Cd6,-0.072545341
416,Cd68,-0.329701057
417,Cd7,-0.586856773
