Gene,Mutation Z-Score
H2-M10.4,-0.3146462774257042
H2-M10.5,-0.29411053999147757
H2-M10.6,-0.3146462774257042
H2-M11,-0.29411053999147757
H2-M2,-0.4173249645968374
H2-M3,-0.437860702031064
H2-M5,-0.3967892271626107
H2-M6-ps,-0.437860702031064
H2-M9,-0.3967892271626107
H2-Oa,1.24606976757552
H2-Ob,1.3282127173124267
H2-Pa,0.7121405942856275
H2-Pb,0.44517600764068127
H2-Q1,-0.2735748025572509
H2-Q10,-0.437860702031064
H2-Q2,-0.23250332768879767
H2-Q3,-0.3557177522941575
H2-Q4,-0.3146462774257042
H2-Q5,-0.3557177522941575
H2-T10,-0.45839643946529063
H2-T22,-0.45839643946529063
H2-T23,-0.3967892271626107
H2-T3,-0.437860702031064
Hnrnpm,0.07553273382460184
Hsf2bp,-0.006610215912304694
Hspa1a,-0.45839643946529063
Hspa1b,-0.45839643946529063
Ier3,-0.45839643946529063
Kank3,-0.437860702031064
Kctd20,-0.3967892271626107
Kifc1,1.1639268178386135
Lsm2,-0.45839643946529063
Lst1,-0.02714595334653133
Lta,-0.1914318528203444
Ltb,-0.4173249645968374
Ly6g5b,-0.45839643946529063
Ly6g5c,-0.3351820148599308
Ly6g6c,-0.3967892271626107
Ly6g6d,-0.23250332768879767
Ly6g6e,-0.3557177522941575
Mdc1,-0.4173249645968374
Mdga1,-0.02714595334653133
Mir6970,-0.45839643946529063
Mir6971,-0.45839643946529063
Mir6974,-0.45839643946529063
Mir7667,0.3630330579037747
Mir8094,-0.437860702031064
Mog,-0.3967892271626107
Morc2b,-0.08875316564921122
Msh5,-0.12982464051766449
Mtch1,0.40410453277222796
Myo1f,0.15767568356150838
Ndufa7,-0.3967892271626107
Ndufv3,-0.3557177522941575
Nelfe,-0.437860702031064
Nfkbil1,-0.2530390651230243
Notch3,-0.0682174282149846
Notch4,2.046963527510359
Nrm,-0.3146462774257042
Olfr102,-0.45839643946529063
Olfr103,-0.3967892271626107
Olfr104-ps,-0.45839643946529063
Olfr105-ps,-0.3967892271626107
Olfr106-ps,-0.21196759025457104
Olfr107,-0.4173249645968374
Olfr108,-0.45839643946529063
Olfr109,-0.45839643946529063
Olfr111,-0.3351820148599308
Olfr112,-0.3967892271626107
Olfr114,-0.45839643946529063
Olfr115,-0.437860702031064
Olfr116,-0.4173249645968374
Olfr117,-0.45839643946529063
Olfr118,-0.3967892271626107
Olfr119,-0.4173249645968374
Olfr120,-0.37625348972838407
Olfr121,-0.3557177522941575
Olfr122,-0.23250332768879767
Olfr123,-0.4173249645968374
Olfr124,-0.437860702031064
Olfr125,-0.3351820148599308
Olfr127,-0.4173249645968374
Olfr128,-0.4173249645968374
Olfr129,-0.4173249645968374
Olfr130,-0.45839643946529063
Olfr131,-0.45839643946529063
Olfr133,-0.45839643946529063
Olfr136,-0.45839643946529063
Olfr137,-0.45839643946529063
Olfr138,-0.4173249645968374
Olfr239,-0.1914318528203444
Olfr55,-0.10928890308343786
Olfr63,-0.10928890308343786
Olfr754-ps1,-0.45839643946529063
Olfr755-ps1,-0.3557177522941575
Olfr756-ps1,-0.3351820148599308
Olfr757-ps1,-0.45839643946529063
Olfr758-ps1,-0.4173249645968374
Olfr759-ps1,-0.3146462774257042
Olfr760-ps1,-0.4173249645968374
Olfr761,-0.45839643946529063
Olfr762-ps1,-0.45839643946529063
Olfr90,-0.29411053999147757
Olfr91,-0.12982464051766449
Olfr92,-0.3557177522941575
Olfr93,-0.45839643946529063
Olfr94,-0.437860702031064
Olfr96,-0.45839643946529063
Olfr97,-0.3146462774257042
Olfr98,-0.437860702031064
Olfr99,-0.3967892271626107
Pbx2,-0.45839643946529063
Pde9a,1.5130343542204663
Pdxk-ps,0.6710691194171742
Pfdn6,0.5067832199433612
Pglyrp2,-0.1914318528203444
Pi16,0.09606847125882848
Pim1,-0.23250332768879767
Pknox1,-0.37625348972838407
Pnpla1,0.34249732046954806
Pnpla1os,-0.15036037795189114
Pou5f1,-0.1914318528203444
Ppil1,1.8826776280365458
Ppp1r10,-0.437860702031064
Ppp1r11,-0.4173249645968374
Ppp1r18,-0.437860702031064
Ppt2,-0.3351820148599308
Pram1,0.5273189573775878
Prr3,-0.45839643946529063
Prrc2a,-0.29411053999147757
Prrt1,-0.437860702031064
Psmb8,0.15767568356150838
Psmb9,0.8969622311936671
Psors1c2,-0.4173249645968374
Pxt1,-0.437860702031064
Rab11b,0.3014258456010948
Rab44,-0.17089611538611776
Rasal3,-0.29411053999147757
Rgl2,0.9174979686278938
Ring1,-0.3351820148599308
Rnf39,-0.3967892271626107
Rnf5,-0.45839643946529063
Rnf8,-0.1914318528203444
RP23-106N22.5,-0.4173249645968374
RP23-364A24.1,-0.17089611538611776
RP23-98F21.12,-0.1914318528203444
Rpl35a-ps3,-0.4173249645968374
Rpl9-ps5,-0.45839643946529063
Rpp21,-0.45839643946529063
Rps18,0.07553273382460184
Rrp1b,0.3014258456010948
Rsph1,-0.10928890308343786
Rxrb,-0.4173249645968374
Sapcd1,-0.08875316564921122
Sik1,-0.1914318528203444
Skiv2l,-0.45839643946529063
Skiv2l-ps1,-0.4173249645968374
Slc37a1,-0.12982464051766449
Slc39a7,-0.3351820148599308
Slc44a4,-0.437860702031064
Srsf3,-0.2530390651230243
Stk19,-0.23250332768879767
Stk19-ps1,-0.08875316564921122
Stk38,-0.12982464051766449
Tap1,0.38356879533800137
Tap2,0.7737478065883073
Tapbp,-0.047681690780757964
Tbc1d22b,-0.23250332768879767
Tbc1d22bos,-0.1914318528203444
Tff1,-0.3146462774257042
Tff3,-0.45839643946529063
Tmem217,-0.437860702031064
Tmprss3,-0.15036037795189114
Tnf,-0.437860702031064
Tnxa,0.11660420869305511
Tnxb,1.2049982927070666
Trim10,-0.2735748025572509
Trim15,-0.4173249645968374
Trim26,-0.15036037795189114
Trim31,-0.17089611538611776
Trim39,-0.45839643946529063
Trim40,-0.29411053999147757
Trp53cor1,0.8353550188909873
U2af1,-0.37625348972838407
Ubash3a,0.2398186332984149
Ubd,-0.3557177522941575
Umodl1,0.8558907563252139
Vars,-0.45839643946529063
Vars2,-0.2735748025572509
Vhl-ps1,-0.45839643946529063
Vps52,2.3549995890237585
Wdr4,-0.4173249645968374
Wdr46,0.5478546948118144
Wiz,-0.1914318528203444
Zbtb12,-0.45839643946529063
Zbtb22,-0.45839643946529063
Zfand3,-0.3146462774257042
Zfp101,-0.1914318528203444
Zfp414,-0.45839643946529063
Zfp422-rs1,0.07553273382460184
Zfp472,0.11660420869305511
Zfp563,0.44517600764068127
Zfp57,-0.4173249645968374
Zfp763,-0.08875316564921122
Zfp799,-0.1914318528203444
Zfp81,0.07553273382460184
Zfp811,-0.4173249645968374
Zfp870,1.0407123932332536
Zfp871,-0.23250332768879767
Zfp952,-0.1914318528203444
Zfp955a,0.13713994612728175
Zfp955b,0.01392552152192194
Znrd1,-0.437860702031064
