Gene,Mutation Z-Score
Notch3,-0.02437418767254418
Ephx3,0.23869894134491584
Gm26549,-0.07698881347603619
Brd4,0.028240438130947825
Akap8l,-0.44529119410048024
Wiz,-0.1822180650830202
Rasal3,-0.3926765682969882
Pglyrp2,-0.2348326908865122
Cyp4f17,-0.44529119410048024
Cyp4f16,-0.44529119410048024
Cyp4f40,-0.44529119410048024
Cyp4f15,-0.07698881347603619
Gm17115,1.2383768316112638
Zfp871,0.028240438130947825
Zfp811,-0.44529119410048024
Gm23294,3.2377326121439602
Gm25555,1.2383768316112638
Zfp799,0.08085506393443984
Zfp870,2.1328254702706277
Cyp4f14,2.9746594831265
Cyp4f13,3.7112642443753883
Cyp4f41-ps,-0.3926765682969882
Gm25667,0.3965428187553919
Cyp4f41-ps,4.237410502410309
Zfp472,0.7122305735763439
Zfp952,0.13346968973793183
Zfp763,0.18608431554142385
4921501E09Rik,1.7119084638426918
Zfp563,1.3962207090217398
Morc2b,-0.02437418767254418
Olfr55,-0.07698881347603619
Olfr239,-0.1296034392795282
Gm4461,-0.07698881347603619
Zfp955a,-0.07698881347603619
Olfr63,0.29131356714840784
Zfp955b,-0.2348326908865122
Zfp422-rs1,0.13346968973793183
Zfp81,0.5017720703623759
Zfp101,-0.1296034392795282
Actl9,0.29131356714840784
Adamts10,3.2377326121439602
Myo1f,0.6070013219693599
Gm20507,0.5017720703623759
Pram1,1.343606083218248
Hnrnpm,0.08085506393443984
Gm22943,-0.44529119410048024
Gm11131,-0.44529119410048024
H2-Q5,0.6596159477728519
Cchcr1,-0.44529119410048024
Gm9573,-0.2348326908865122
Ddr1,-0.44529119410048024
Dhx16,-0.28744731669000423
Atat1,-0.44529119410048024
H2-T24,-0.44529119410048024
Gm8810,-0.3926765682969882
H2-Bl,-0.44529119410048024
Gm20530,0.18608431554142385
Gm9574,-0.28744731669000423
Gm8909,-0.44529119410048024
Gm6623,0.23869894134491584
Gm20546,-0.44529119410048024
Gm20526,-0.44529119410048024
Gm20401,-0.2348326908865122
Gm8878,0.3965428187553919
Trim40,-0.44529119410048024
Esp34,6.236766282943004
Esp31,4.447869005624277
Esp24,-0.07698881347603619
Gm21903,-0.07698881347603619
Esp23,-0.2348326908865122
Esp18,-0.07698881347603619
Brpf3,-0.3926765682969882
1700030A11Rik,-0.44529119410048024
4930539E08Rik,-0.44529119410048024
Gm16191,-0.44529119410048024
Pxt1,-0.44529119410048024
Stk38,-0.3400619424934962
Srsf3,-0.3926765682969882
Gm27599,-0.3926765682969882
Cdkn1a,-0.2348326908865122
Gm16194,-0.2348326908865122
Rab44,-0.44529119410048024
Cpne5,-0.2348326908865122
Ppil1,0.3965428187553919
BC004004,0.29131356714840784
Gm10045,-0.1822180650830202
Pi16,-0.1296034392795282
Mtch1,-0.02437418767254418
Fgd2,0.9753037025938038
Pim1,-0.3926765682969882
Gm26885,-0.02437418767254418
